source,target,target_nature,dep_nature
PROJ,GDAL,C_CPP,direct
GEOS,GDAL,C_CPP,direct
GDAL,PDAL,C_CPP,direct
PROJ,QGIS,C_CPP,direct
GEOS,QGIS,C_CPP,direct
GDAL,QGIS,C_CPP,direct
GDAL,MDAL,C_CPP,direct
MDAL,QGIS,C_CPP,direct
PDAL,QGIS,C_CPP,direct
PROJ,MapServer,C_CPP,direct
GEOS,MapServer,C_CPP,direct
GDAL,MapServer,C_CPP,direct
PROJ,GRASS GIS,C_CPP,direct
GDAL,GRASS GIS,C_CPP,direct
GDAL,GeoDjango,Python,direct
GEOS,GeoDjango,Python,direct
GDAL,rasterio,Python,direct
GDAL,fiona,Python,direct
GDAL,pyogrio,Python,direct
pyogrio,GeoPandas,Python,direct
GEOS,shapely,Python,direct
GEOS,r-spatial.r,R,direct
shapely,GeoPandas,Python,direct
shapely,GeoNode,Java,direct
PROJ,PostGIS,C_CPP,direct
GEOS,PostGIS,C_CPP,direct
PostGIS,PostGISRaster,C_CPP,direct
GDAL,PostGISRaster,C_CPP,direct
PostGIS,PgRouting,C_CPP,direct
GEOS,Valhalla,C_CPP,direct
GDAL,imageio-ext-gdal,Java,direct
imageio-ext-gdal,GeoTools,Java,direct
GeoTools,GeoServer,Java,direct
GDAL,geoserver.gdal,Java,direct
geoserver.gdal,GeoServer,Java,direct
PostGIS,QGIS,C_CPP,direct
PostGIS,MapServer,C_CPP,direct
PostGIS,GDAL,C_CPP,direct
PostGIS,GeoServer,C_CPP,direct
JTS,GEOS,C_CPP,port
JTS,Sedona,Java,direct
JTS,GeoTools,Java,direct
